provinsi,sekolah,siswa,mengulang,putus_sekolah,kepala_sekolah_&_guru,tenaga_kependidikan,rombel,ruang_kelas,status,tahun,jenjang
Papua,335,47619,425,297,2381,173,2397,2555,Swasta,2024,SD
Bengkulu,119,23246,6,25,1658,162,1097,1191,Swasta,2024,SD
Maluku Utara,202,22598,70,85,987,67,1283,1339,Swasta,2024,SD
Banten,799,202372,99,222,11710,1063,8742,9671,Swasta,2024,SD
Kepulauan Bangka Belitung,71,16775,3,6,938,215,694,790,Swasta,2024,SD
Gorontalo,36,5077,1,11,298,34,261,271,Swasta,2024,SD
Kepulauan Riau,305,73836,52,70,4585,386,3152,3555,Swasta,2024,SD
Papua Barat,162,22759,702,92,1256,71,1189,1182,Swasta,2024,SD
Sulawesi Barat,32,5114,3,1,305,52,271,257,Swasta,2024,SD
Kalimantan Utara,49,10486,26,34,602,85,477,459,Swasta,2024,SD
Luar Negeri,41,6253,19,7,139,0,301,235,Swasta,2024,SD
Papua Tengah,265,73273,1733,592,2056,67,2614,2261,Swasta,2024,SD
Papua Selatan,241,39392,2550,290,1331,80,1788,1802,Swasta,2024,SD
Papua Pegunungan,160,34363,114,216,881,33,1252,1102,Swasta,2024,SD
Papua Barat Daya,249,24564,354,67,1385,96,1641,1705,Swasta,2024,SD
DKI Jakarta,293,222930,0,181,9693,2209,6043,6228,Negeri,2021,SMP
Jawa Barat,1969,1113692,0,502,52541,11470,33594,38750,Negeri,2021,SMP
Jawa Tengah,1769,919373,0,405,50090,11550,29887,33242,Negeri,2021,SMP
DI Yogyakarta,214,92678,0,6,5461,1328,2959,3252,Negeri,2021,SMP
Jawa Timur,1729,829308,0,516,47839,11527,27071,31506,Negeri,2021,SMP
Aceh,897,160011,0,307,19266,4386,6114,9531,Negeri,2021,SMP
Sumatera Utara,1331,433519,0,666,30475,3724,14653,17620,Negeri,2021,SMP
Sumatera Barat,674,184026,0,506,15330,2782,6607,8468,Negeri,2021,SMP
Riau,855,206252,0,254,15257,2691,7204,9316,Negeri,2021,SMP
Jambi,557,102206,0,205,9717,1843,3899,5204,Negeri,2021,SMP
Sumatera Selatan,901,287828,0,260,20851,3934,9738,11123,Negeri,2021,SMP
Lampung,710,240771,0,103,16560,2794,8148,9954,Negeri,2021,SMP
Kalimantan Barat,1018,187216,0,265,12878,1478,6902,8098,Negeri,2021,SMP
Kalimantan Tengah,708,89891,0,185,7918,837,3712,4939,Negeri,2021,SMP
Kalimantan Selatan,522,99185,0,179,7786,1266,3780,5006,Negeri,2021,SMP
Kalimantan Timur,447,127778,0,110,8198,1711,4351,5005,Negeri,2021,SMP
Sulawesi Utara,474,80137,0,192,6517,725,3113,4203,Negeri,2021,SMP
Sulawesi Tengah,731,112116,0,362,9734,2273,4414,6291,Negeri,2021,SMP
Sulawesi Selatan,1265,295626,0,550,24602,5447,10888,14230,Negeri,2021,SMP
Sulawesi Tenggara,691,116819,0,212,11223,1498,4606,6397,Negeri,2021,SMP
Maluku,534,74124,0,116,7423,1108,2939,4282,Negeri,2021,SMP
Bali,272,160516,0,31,9233,2526,4902,4984,Negeri,2021,SMP
Nusa Tenggara Barat,605,136326,0,320,16136,3329,5071,6782,Negeri,2021,SMP
Nusa Tenggara Timur,1354,265042,0,572,21687,2888,9636,12661,Negeri,2021,SMP
Papua,507,103457,0,414,6417,687,3357,4167,Negeri,2021,SMP
Bengkulu,381,79778,0,77,6695,1207,2995,3846,Negeri,2021,SMP
Maluku Utara,363,46659,0,175,4803,631,1841,2528,Negeri,2021,SMP
Banten,573,268113,0,159,12349,2140,8006,9443,Negeri,2021,SMP
Kepulauan Bangka Belitung,161,53168,0,39,3029,985,1723,2060,Negeri,2021,SMP
Gorontalo,312,43670,0,159,3625,644,1797,2399,Negeri,2021,SMP
Kepulauan Riau,234,74328,0,21,4101,969,2298,2605,Negeri,2021,SMP
Papua Barat,229,36396,0,56,3123,276,1398,1714,Negeri,2021,SMP
Sulawesi Barat,318,51302,0,131,4658,1410,1994,2744,Negeri,2021,SMP
Kalimantan Utara,153,29669,0,40,2279,375,1109,1293,Negeri,2021,SMP
Luar Negeri,46,4607,0,63,179,8,212,343,Negeri,2021,SMP
DKI Jakarta,784,138926,0,155,8946,1779,5096,7123,Swasta,2021,SMP
Jawa Barat,3715,687467,0,1116,37914,6056,23955,29531,Swasta,2021,SMP
Jawa Tengah,1613,281513,0,216,18766,3737,10660,13693,Swasta,2021,SMP
DI Yogyakarta,234,41147,0,10,3256,834,1597,1948,Swasta,2021,SMP
Jawa Timur,3136,410719,0,1922,29529,3794,16340,20022,Swasta,2021,SMP
Aceh,316,44534,0,69,3145,481,1705,2028,Swasta,2021,SMP
Sumatera Utara,1315,221370,0,618,12541,1395,7917,9943,Swasta,2021,SMP
Sumatera Barat,171,23579,0,24,2041,330,965,1339,Swasta,2021,SMP
Riau,375,54858,0,229,4050,484,2107,2760,Swasta,2021,SMP
Jambi,136,20213,0,36,1245,176,763,946,Swasta,2021,SMP
Sumatera Selatan,481,71500,0,181,4547,841,2694,3446,Swasta,2021,SMP
Lampung,702,88530,0,188,6325,786,3519,4585,Swasta,2021,SMP
Kalimantan Barat,333,43635,0,157,2485,292,1653,2145,Swasta,2021,SMP
Kalimantan Tengah,137,17901,0,33,1226,106,708,852,Swasta,2021,SMP
Kalimantan Selatan,97,13730,0,69,1067,155,550,670,Swasta,2021,SMP
Kalimantan Timur,221,32664,0,22,2057,366,1283,1644,Swasta,2021,SMP
Sulawesi Utara,253,27122,0,52,1844,147,1155,1532,Swasta,2021,SMP
Sulawesi Tengah,129,11513,0,92,992,189,529,689,Swasta,2021,SMP
Sulawesi Selatan,429,54269,0,215,3981,576,2203,2881,Swasta,2021,SMP
Sulawesi Tenggara,83,8009,0,23,706,73,359,442,Swasta,2021,SMP
Maluku,140,17686,0,36,1484,134,706,1086,Swasta,2021,SMP
Bali,136,30536,0,4,1900,477,1033,1486,Swasta,2021,SMP
Nusa Tenggara Barat,384,36298,0,257,3432,282,1586,1870,Swasta,2021,SMP
Nusa Tenggara Timur,428,80180,0,355,5441,756,2913,4047,Swasta,2021,SMP
Papua,214,35577,0,140,2013,229,1209,1698,Swasta,2021,SMP
Bengkulu,58,7344,0,12,602,82,297,361,Swasta,2021,SMP
Maluku Utara,139,13687,0,18,1103,108,580,751,Swasta,2021,SMP
Banten,994,169761,0,295,9432,1275,6028,7919,Swasta,2021,SMP
Kepulauan Bangka Belitung,62,8768,0,8,573,153,330,498,Swasta,2021,SMP
Gorontalo,26,2589,0,8,201,25,114,156,Swasta,2021,SMP
Kepulauan Riau,165,22383,0,8,1637,250,892,1159,Swasta,2021,SMP
Papua Barat,94,13195,0,60,1036,95,515,645,Swasta,2021,SMP
Sulawesi Barat,59,5200,0,24,410,64,232,287,Swasta,2021,SMP
Kalimantan Utara,33,3613,0,44,301,52,151,199,Swasta,2021,SMP
Luar Negeri,13,1423,0,7,58,0,54,99,Swasta,2021,SMP
DKI Jakarta,293,219543,0,188,9842,2191,6024,5968,Negeri,2022,SMP
Jawa Barat,1982,1108220,0,513,52596,11151,33519,35898,Negeri,2022,SMP
Jawa Tengah,1771,913433,0,243,50220,11087,29841,31171,Negeri,2022,SMP
DI Yogyakarta,214,92111,0,9,5525,1258,2966,3137,Negeri,2022,SMP
Jawa Timur,1731,809355,0,423,47594,10987,26762,29516,Negeri,2022,SMP
Aceh,902,153499,0,329,19326,4308,6002,8520,Negeri,2022,SMP
Sumatera Utara,1338,415483,0,802,30759,3551,14432,16373,Negeri,2022,SMP
Sumatera Barat,673,177644,0,272,15307,2701,6490,7879,Negeri,2022,SMP
Riau,863,202483,0,250,15359,2707,7174,8229,Negeri,2022,SMP
Jambi,560,97895,0,124,9656,1815,3821,4820,Negeri,2022,SMP
Sumatera Selatan,904,284660,0,362,20843,3955,9726,10097,Negeri,2022,SMP
Lampung,709,239170,0,105,16672,2772,8174,8831,Negeri,2022,SMP
Kalimantan Barat,1023,184443,0,303,13076,1461,6885,7574,Negeri,2022,SMP
Kalimantan Tengah,710,87292,0,204,8108,777,3694,4446,Negeri,2022,SMP
Kalimantan Selatan,523,97661,0,166,7733,1195,3749,4683,Negeri,2022,SMP
Kalimantan Timur,451,127561,0,165,8218,1699,4355,4696,Negeri,2022,SMP
Sulawesi Utara,476,76311,0,144,6877,661,3031,3650,Negeri,2022,SMP
Sulawesi Tengah,731,105195,0,389,9966,2234,4302,5270,Negeri,2022,SMP
Sulawesi Selatan,1268,281298,0,573,24753,5522,10607,13010,Negeri,2022,SMP
Sulawesi Tenggara,694,111979,0,166,12045,1592,4541,5624,Negeri,2022,SMP
Maluku,542,72347,0,172,7900,1088,2929,3507,Negeri,2022,SMP
Bali,273,160227,0,42,9127,2565,4886,4570,Negeri,2022,SMP
Nusa Tenggara Barat,604,132157,0,206,16610,3282,4992,5931,Negeri,2022,SMP
Nusa Tenggara Timur,1366,250759,0,671,23290,2879,9398,10418,Negeri,2022,SMP
Papua,519,111141,0,569,7003,675,3542,3692,Negeri,2022,SMP
Bengkulu,380,77696,0,90,6883,1216,2959,3558,Negeri,2022,SMP
Maluku Utara,369,45773,0,100,5026,618,1844,2279,Negeri,2022,SMP
Banten,573,268385,0,212,13154,2057,8072,8565,Negeri,2022,SMP
Kepulauan Bangka Belitung,163,52727,0,27,3043,987,1721,1879,Negeri,2022,SMP
Gorontalo,312,40483,0,177,3740,626,1727,2155,Negeri,2022,SMP
Kepulauan Riau,235,74360,0,14,4170,979,2306,2356,Negeri,2022,SMP
Papua Barat,238,37100,0,87,3587,312,1446,1648,Negeri,2022,SMP
Sulawesi Barat,318,47729,0,135,4873,1523,1931,2374,Negeri,2022,SMP
Kalimantan Utara,156,29278,0,37,2340,385,1125,1170,Negeri,2022,SMP
Luar Negeri,46,4445,0,6,190,5,211,296,Negeri,2022,SMP
DKI Jakarta,785,130223,0,84,8838,1771,4882,6622,Swasta,2022,SMP
Jawa Barat,3843,673266,0,704,38308,6241,23990,28207,Swasta,2022,SMP
Jawa Tengah,1640,278633,0,221,17486,3702,10683,13037,Swasta,2022,SMP
DI Yogyakarta,237,41026,0,5,3132,816,1600,1811,Swasta,2022,SMP
Jawa Timur,3210,412770,0,1369,28826,3755,16652,19091,Swasta,2022,SMP
Aceh,359,46589,0,111,3462,511,1859,2057,Swasta,2022,SMP
Sumatera Utara,1334,212102,0,864,12320,1303,7740,9378,Swasta,2022,SMP
Sumatera Barat,180,23766,0,37,2143,333,990,1264,Swasta,2022,SMP
Riau,391,55589,0,248,4114,498,2178,2650,Swasta,2022,SMP
Jambi,143,20376,0,36,1318,177,792,908,Swasta,2022,SMP
Sumatera Selatan,505,69426,0,162,4551,834,2693,3284,Swasta,2022,SMP
Lampung,726,90792,0,94,6196,798,3629,4346,Swasta,2022,SMP
Kalimantan Barat,340,43632,0,81,2432,292,1681,2034,Swasta,2022,SMP
Kalimantan Tengah,148,18130,0,16,1275,103,732,814,Swasta,2022,SMP
Kalimantan Selatan,102,13961,0,17,1042,161,571,671,Swasta,2022,SMP
Kalimantan Timur,232,32730,0,19,2052,358,1293,1563,Swasta,2022,SMP
Sulawesi Utara,257,25518,0,37,1797,141,1130,1390,Swasta,2022,SMP
Sulawesi Tengah,137,11822,0,111,918,191,561,619,Swasta,2022,SMP
Sulawesi Selatan,436,53106,0,144,3922,556,2197,2709,Swasta,2022,SMP
Sulawesi Tenggara,85,8028,0,64,758,80,367,387,Swasta,2022,SMP
Maluku,143,16921,0,39,1601,139,690,871,Swasta,2022,SMP
Bali,130,27318,0,4,1738,433,951,1290,Swasta,2022,SMP
Nusa Tenggara Barat,422,37428,0,113,3667,294,1673,1622,Swasta,2022,SMP
Nusa Tenggara Timur,438,76353,0,195,5536,732,2846,3394,Swasta,2022,SMP
Papua,224,37840,0,287,2226,218,1275,1492,Swasta,2022,SMP
Bengkulu,68,7914,0,1,718,93,335,396,Swasta,2022,SMP
Maluku Utara,141,13125,0,44,1101,95,576,651,Swasta,2022,SMP
Banten,1008,166003,0,259,9210,1227,6002,7406,Swasta,2022,SMP
Kepulauan Bangka Belitung,62,9062,0,4,582,143,341,434,Swasta,2022,SMP
Gorontalo,28,2563,0,6,229,25,120,133,Swasta,2022,SMP
Kepulauan Riau,175,23237,0,5,1789,232,935,1098,Swasta,2022,SMP
Papua Barat,96,13089,0,25,1024,97,524,605,Swasta,2022,SMP
Sulawesi Barat,61,5179,0,31,416,68,237,264,Swasta,2022,SMP
Kalimantan Utara,36,3684,0,2,299,54,155,180,Swasta,2022,SMP
Luar Negeri,12,1368,0,2,55,0,51,82,Swasta,2022,SMP
DKI Jakarta,293,212200,179,39,10340,2074,6027,5979,Negeri,2023,SMP
Jawa Barat,1982,1140073,590,601,53507,10662,34002,36851,Negeri,2023,SMP
Jawa Tengah,1772,926618,475,337,50483,10551,29985,31696,Negeri,2023,SMP
DI Yogyakarta,214,92471,5,4,5361,1175,2969,3157,Negeri,2023,SMP
Jawa Timur,1737,811528,557,842,47086,10374,26723,30018,Negeri,2023,SMP
Aceh,903,153398,584,461,19336,3993,5982,8729,Negeri,2023,SMP
Sumatera Utara,1339,411355,580,1091,30905,3270,14283,17278,Negeri,2023,SMP
Sumatera Barat,675,177358,1246,351,14991,2563,6427,8094,Negeri,2023,SMP
Riau,874,204418,394,238,15638,2613,7246,8548,Negeri,2023,SMP
Jambi,558,98709,255,159,9483,1738,3823,5080,Negeri,2023,SMP
Sumatera Selatan,908,287347,683,406,20650,3793,9789,10382,Negeri,2023,SMP
Lampung,709,242619,191,141,16575,2685,8227,9055,Negeri,2023,SMP
Kalimantan Barat,1030,186019,656,315,13207,1472,6916,7795,Negeri,2023,SMP
Kalimantan Tengah,714,86866,335,170,8337,731,3698,4583,Negeri,2023,SMP
Kalimantan Selatan,522,98906,188,172,7836,1165,3765,4798,Negeri,2023,SMP
Kalimantan Timur,458,129945,302,149,8244,1631,4436,4865,Negeri,2023,SMP
Sulawesi Utara,478,74181,232,120,7377,619,2989,3703,Negeri,2023,SMP
Sulawesi Tengah,734,101706,420,466,10401,2052,4277,5474,Negeri,2023,SMP
Sulawesi Selatan,1269,278068,850,727,24753,5108,10457,13279,Negeri,2023,SMP
Sulawesi Tenggara,694,108768,509,210,12815,1522,4474,5804,Negeri,2023,SMP
Maluku,552,73152,61,157,8487,1057,2963,3734,Negeri,2023,SMP
Bali,277,159809,10,48,9124,2473,4873,4698,Negeri,2023,SMP
Nusa Tenggara Barat,604,133977,209,235,17013,3181,5013,6041,Negeri,2023,SMP
Nusa Tenggara Timur,1380,241833,403,509,23997,2857,9233,11018,Negeri,2023,SMP
Papua,189,38710,360,175,2926,383,1346,1462,Negeri,2023,SMP
Bengkulu,380,76883,308,119,7144,1141,2932,3656,Negeri,2023,SMP
Maluku Utara,373,46391,166,112,5343,583,1866,2382,Negeri,2023,SMP
Banten,573,277317,209,254,13716,1970,8203,8784,Negeri,2023,SMP
Kepulauan Bangka Belitung,163,53607,91,30,3036,957,1734,1952,Negeri,2023,SMP
Gorontalo,313,39019,254,173,3898,603,1707,2234,Negeri,2023,SMP
Kepulauan Riau,236,75301,143,28,4254,960,2318,2432,Negeri,2023,SMP
Papua Barat,124,20785,262,54,1836,181,782,876,Negeri,2023,SMP
Sulawesi Barat,319,46261,262,195,4975,1443,1887,2418,Negeri,2023,SMP
Kalimantan Utara,156,29278,90,37,2379,383,1125,1248,Negeri,2023,SMP
Luar Negeri,43,4692,1,6,178,8,209,284,Negeri,2023,SMP
Papua Tengah,101,27354,325,264,1518,119,895,845,Negeri,2023,SMP
Papua Selatan,94,20959,825,69,1503,93,725,767,Negeri,2023,SMP
Papua Pegunungan,152,32795,232,347,1505,25,964,894,Negeri,2023,SMP
Papua Barat Daya,123,17856,77,35,1937,124,707,829,Negeri,2023,SMP
DKI Jakarta,777,135658,290,39,8510,1733,4998,6717,Swasta,2023,SMP
Jawa Barat,3963,676108,798,1280,38222,6512,24280,29257,Swasta,2023,SMP
Jawa Tengah,1674,281686,431,355,16886,3698,10743,13438,Swasta,2023,SMP
DI Yogyakarta,240,40084,70,18,3057,787,1581,1864,Swasta,2023,SMP
Jawa Timur,3259,418894,1337,2036,28611,3830,16956,19693,Swasta,2023,SMP
Aceh,391,48788,36,136,3686,534,1973,2290,Swasta,2023,SMP
Sumatera Utara,1348,210727,502,948,12324,1300,7718,9637,Swasta,2023,SMP
Sumatera Barat,183,24144,61,21,2142,337,1001,1323,Swasta,2023,SMP
Riau,395,56952,46,112,4192,502,2249,2768,Swasta,2023,SMP
Jambi,150,21047,43,23,1367,178,828,985,Swasta,2023,SMP
Sumatera Selatan,530,69133,239,179,4539,859,2746,3401,Swasta,2023,SMP
Lampung,746,94325,62,139,6391,808,3753,4615,Swasta,2023,SMP
Kalimantan Barat,347,43911,184,336,2479,294,1729,2090,Swasta,2023,SMP
Kalimantan Tengah,153,18636,20,28,1277,101,756,867,Swasta,2023,SMP
Kalimantan Selatan,105,13883,13,11,1070,161,577,708,Swasta,2023,SMP
Kalimantan Timur,239,31929,44,44,2057,353,1286,1649,Swasta,2023,SMP
Sulawesi Utara,255,24159,139,99,1665,135,1111,1394,Swasta,2023,SMP
Sulawesi Tengah,143,11527,55,39,891,188,569,655,Swasta,2023,SMP
Sulawesi Selatan,444,53082,210,153,3860,553,2208,2809,Swasta,2023,SMP
Sulawesi Tenggara,95,8034,26,49,723,80,386,434,Swasta,2023,SMP
Maluku,144,16284,14,89,1369,144,673,943,Swasta,2023,SMP
Bali,127,26194,2,21,1644,402,912,1249,Swasta,2023,SMP
Nusa Tenggara Barat,459,39980,71,208,3923,303,1815,1809,Swasta,2023,SMP
Nusa Tenggara Timur,453,74983,150,333,5465,718,2841,3608,Swasta,2023,SMP
Papua,80,12378,78,39,820,102,470,586,Swasta,2023,SMP
Bengkulu,77,8619,24,41,760,94,376,445,Swasta,2023,SMP
Maluku Utara,146,13331,12,65,975,96,575,701,Swasta,2023,SMP
Banten,1029,164556,293,263,9176,1261,6021,7663,Swasta,2023,SMP
Kepulauan Bangka Belitung,69,9605,10,10,628,159,372,487,Swasta,2023,SMP
Gorontalo,29,2406,16,10,205,21,121,136,Swasta,2023,SMP
Kepulauan Riau,179,23918,2,10,1830,235,960,1138,Swasta,2023,SMP
Papua Barat,40,6684,142,48,491,62,255,298,Swasta,2023,SMP
Sulawesi Barat,59,4961,1,27,394,61,229,274,Swasta,2023,SMP
Kalimantan Utara,39,3815,3,6,324,64,162,204,Swasta,2023,SMP
Luar Negeri,12,1470,0,5,61,0,58,83,Swasta,2023,SMP
Papua Tengah,70,13250,159,63,701,49,449,499,Swasta,2023,SMP
Papua Selatan,36,6633,350,4,429,54,233,259,Swasta,2023,SMP
Papua Pegunungan,45,9018,79,142,325,16,272,248,Swasta,2023,SMP
Papua Barat Daya,58,6794,48,49,535,41,283,333,Swasta,2023,SMP
DKI Jakarta,293,211760,189,3,9935,1873,6026,5995,Negeri,2024,SMP
Jawa Barat,1993,1175708,470,241,53305,10377,34997,38027,Negeri,2024,SMP
Jawa Tengah,1771,936459,335,158,49976,9928,30278,32228,Negeri,2024,SMP
DI Yogyakarta,214,92562,9,3,5369,1113,2974,3156,Negeri,2024,SMP
Jawa Timur,1737,820294,505,415,46656,9682,26856,30516,Negeri,2024,SMP
Aceh,906,158212,371,294,19548,4234,6169,8895,Negeri,2024,SMP
Sumatera Utara,1340,414206,448,666,31306,3278,14375,17580,Negeri,2024,SMP
Sumatera Barat,676,180460,1206,229,15279,2540,6532,8240,Negeri,2024,SMP
Riau,889,210790,249,175,16572,2712,7468,8892,Negeri,2024,SMP
Jambi,559,100620,206,150,9672,1803,3915,5222,Negeri,2024,SMP
Sumatera Selatan,905,290936,408,287,20545,3894,9882,10851,Negeri,2024,SMP
Lampung,710,246512,174,108,16666,2672,8376,9528,Negeri,2024,SMP
Kalimantan Barat,1037,190808,669,269,13496,1579,7067,8147,Negeri,2024,SMP
Kalimantan Tengah,719,87795,229,163,8788,757,3758,4703,Negeri,2024,SMP
Kalimantan Selatan,522,101088,213,121,8014,1144,3836,4987,Negeri,2024,SMP
Kalimantan Timur,459,132865,228,109,8530,1664,4518,5105,Negeri,2024,SMP
Sulawesi Utara,478,72985,209,130,8037,662,2967,3755,Negeri,2024,SMP
Sulawesi Tengah,735,101269,342,327,10902,2584,4281,5595,Negeri,2024,SMP
Sulawesi Selatan,1269,283404,676,584,24699,5127,10653,13490,Negeri,2024,SMP
Sulawesi Tenggara,699,107257,404,146,13660,1830,4470,5948,Negeri,2024,SMP
Maluku,561,74258,98,183,9799,1468,3050,3929,Negeri,2024,SMP
Bali,277,161975,11,30,9203,2385,4904,4765,Negeri,2024,SMP
Nusa Tenggara Barat,606,139505,139,199,18059,3233,5096,6233,Negeri,2024,SMP
Nusa Tenggara Timur,1396,234939,398,514,25659,3009,9149,11360,Negeri,2024,SMP
Papua,196,39424,394,101,3000,401,1409,1533,Negeri,2024,SMP
Bengkulu,380,76752,232,104,7617,1256,2920,3721,Negeri,2024,SMP
Maluku Utara,380,46495,166,111,6061,741,1903,2462,Negeri,2024,SMP
Banten,576,287975,158,129,13627,1962,8472,9145,Negeri,2024,SMP
Kepulauan Bangka Belitung,164,55038,48,25,3051,922,1769,1983,Negeri,2024,SMP
Gorontalo,313,38500,245,130,3920,605,1693,2284,Negeri,2024,SMP
Kepulauan Riau,236,76953,82,8,4267,949,2324,2452,Negeri,2024,SMP
Papua Barat,126,21791,275,28,1864,181,826,899,Negeri,2024,SMP
Sulawesi Barat,319,46691,199,159,5182,1503,1920,2463,Negeri,2024,SMP
Kalimantan Utara,157,29610,90,31,2451,388,1136,1272,Negeri,2024,SMP
Luar Negeri,43,5230,0,21,173,9,234,288,Negeri,2024,SMP
Papua Tengah,101,28369,366,211,1618,128,959,903,Negeri,2024,SMP
Papua Selatan,95,22148,832,132,1597,102,790,853,Negeri,2024,SMP
Papua Pegunungan,157,35236,192,306,1593,26,1097,957,Negeri,2024,SMP
Papua Barat Daya,125,18518,80,21,1998,132,741,881,Negeri,2024,SMP
DKI Jakarta,775,142994,366,39,8547,1744,5225,6823,Swasta,2024,SMP
Jawa Barat,4058,685056,714,1035,38298,6821,24806,30279,Swasta,2024,SMP
Jawa Tengah,1685,282405,421,229,16497,3678,10872,13840,Swasta,2024,SMP
DI Yogyakarta,239,38629,78,2,2937,783,1549,1894,Swasta,2024,SMP
Jawa Timur,3311,421917,1093,1365,28549,3992,17332,20257,Swasta,2024,SMP
Aceh,422,49752,41,104,3535,565,2082,2472,Swasta,2024,SMP
Sumatera Utara,1369,210929,540,779,12101,1287,7818,9881,Swasta,2024,SMP
Sumatera Barat,189,23754,43,17,2067,337,1006,1376,Swasta,2024,SMP
Riau,420,58348,78,95,4123,535,2336,2940,Swasta,2024,SMP
Jambi,161,21189,13,19,1383,196,859,1055,Swasta,2024,SMP
Sumatera Selatan,558,68346,207,171,4461,920,2800,3570,Swasta,2024,SMP
Lampung,773,96309,98,58,6334,872,3880,5083,Swasta,2024,SMP
Kalimantan Barat,351,44626,173,133,2452,311,1764,2183,Swasta,2024,SMP
Kalimantan Tengah,158,19368,33,27,1285,130,786,901,Swasta,2024,SMP
Kalimantan Selatan,111,13843,9,10,1064,172,580,787,Swasta,2024,SMP
Kalimantan Timur,258,32617,42,23,2123,391,1328,1762,Swasta,2024,SMP
Sulawesi Utara,256,23655,97,55,1586,144,1120,1423,Swasta,2024,SMP
Sulawesi Tengah,148,11296,6,29,840,192,582,698,Swasta,2024,SMP
Sulawesi Selatan,462,53194,169,145,3841,593,2236,2879,Swasta,2024,SMP
Sulawesi Tenggara,96,7711,35,18,672,82,382,445,Swasta,2024,SMP
